personenId,herkunft,herkunftname
858,27,Wien
869,4,Aschach
870,4,Aschach
873,89,Krems
877,27,Wien
879,38,Pupping
885,27,Wien
887,225,Neuhaus (an der Donau)
3772,173,Neufelden
895,27,Wien
896,27,Wien
897,27,Wien
899,27,Wien
900,15,Ulm
907,21,Salzburg
908,9,Hall
910,22,Straubing
911,110,Reichersberg
914,62,Augsburg
918,111,Aidenbach
27667,307,Winzer
920,11,Regensburg
921,11,Regensburg
926,27,Wien
927,11,Regensburg
15956,175,Neuburg am Inn
931,2,Nürnberg
933,25,Eferding
934,26,Wesenufer
935,225,Neuhaus (an der Donau)
936,403,Flintsbach
937,94,Dreissenau
938,4,Aschach
939,4,Aschach
940,51,Kelheim
943,225,Neuhaus (an der Donau)
945,42,Hallein
946,19,Berchtesgaden
947,42,Hallein
948,114,Pielenhofen
949,62,Augsburg
957,62,Augsburg
958,62,Augsburg
960,62,Augsburg
962,27,Wien
964,115,Mossendorf
965,63,Kallmünz
967,11,Regensburg
973,3,Linz
974,3,Linz
975,22,Straubing
976,2,Nürnberg
978,3,Linz
979,64,Obernberg (am Inn)
981,385,Schaden
982,24,Tölz
28750,19,Berchtesgaden
984,116,Hochdorf
985,11,Regensburg
20033,33,Hofkirchen (im Mühlkreis)
993,3,Linz
995,27,Wien
996,27,Wien
997,118,Regen
999,62,Augsburg
1000,2,Nürnberg
1001,2,Nürnberg
1004,2,Nürnberg
1005,35,Grafenau
1006,24,Tölz
1007,119,Schwaz
1008,9,Hall
1009,9,Hall
1015,27,Wien
1016,385,Schaden
1017,118,Regen
1023,2,Nürnberg
1024,11,Regensburg
1028,16,Lechbruck
1029,120,Sibenthurn
1030,15,Ulm
1031,142,Ingolstadt
1033,121,Nußdorf (am Inn)
1034,8,Kufstein
1035,11,Regensburg
1037,27,Wien
38556,1223,Pradenstein
1051,16,Lechbruck
1053,115,Mossendorf
1054,101,Schalding
10033,577,Hienheim
1056,49,Stadtamhof
1057,9,Hall
1066,27,Wien
1069,90,Glarus
1070,1313,Falkenstein (Flintsbach)
1071,7,Rosenheim
1072,13,Obernzell/Hafnerzell
1073,97,Murnau
1074,10,Passau
1075,9,Hall
1078,27,Wien
1080,27,Wien
1083,27,Wien
9907,830,Freistadt (im Mühlviertel)
1087,123,Sebath
1088,3,Linz
1089,66,von der Ranna
15595,13,Obernzell/Hafnerzell
1091,125,Landsberg
1097,11,Regensburg
1103,27,Wien
1106,126,Windorf
1107,11,Regensburg
1108,127,Pleinting
1110,4,Aschach
1118,2,Nürnberg
1120,6,Langhalsen
1121,22,Straubing
1122,128,Innsbruck
1123,90,Glarus
1124,11,Regensburg
1125,21,Salzburg
1129,62,Augsburg
1130,17,Steyr
1132,1241,Audorf
1133,127,Pleinting
1134,130,Heidelberg
1135,125,Landsberg
1137,9,Hall
1138,27,Wien
1146,27,Wien
7419,27,Wien
1150,21,Salzburg
1151,42,Hallein
1153,21,Salzburg
1154,21,Salzburg
39462,1336,Hagenhofen
1162,131,Bibersbach
1165,2,Nürnberg
1166,522,Erlangen
1168,2,Nürnberg
1172,60,Sandbach
1173,62,Augsburg
1178,11,Regensburg
1180,62,Augsburg
1185,62,Augsburg
7751,488,Breslau
1189,2,Nürnberg
1190,10,Passau
1191,129,Audorf (Ober-)
1192,114,Pielenhofen
1196,132,Ohlstadt
1201,10,Passau
1202,10,Passau
1203,11,Regensburg
1204,22,Straubing
18460,4,Aschach
1209,482,Kirchdorf (an der Krems)
1216,2,Nürnberg
1224,25,Eferding
1225,133,Hartkirchen
1228,30,Laufen
1231,5,von der Mühl
1233,68,Neukirchen am Walde
1234,134,Tittmoning
1235,135,Polwitz
1236,136,Hohenaschau
1237,9,Hall
1246,167,Melk
1247,27,Wien
1248,8,Kufstein
1250,137,Eich
1251,15,Ulm
1253,29,Engelhartszell
1254,225,Neuhaus (an der Donau)
23050,172,Waldkirchen
1257,41,Deggendorf
