angaben_scansId,angabenId,scanId
919,779,3974
920,780,3975
921,780,3976
922,780,3977
923,780,3978
924,780,3979
925,780,3980
926,781,3980
927,782,3980
928,783,3981
929,784,3981
930,785,3981
931,786,3981
932,787,3981
933,788,3982
934,789,3982
935,790,3982
936,791,3982
937,791,3983
938,791,3984
939,792,3985
940,793,3985
941,794,3985
942,795,3985
943,796,3985
944,797,3986
945,797,3987
946,797,3988
947,797,3989
948,797,3990
949,798,3991
950,799,3991
951,800,3991
952,801,3991
953,802,3991
954,802,3992
955,803,3992
956,804,3993
957,804,3994
958,804,3995
959,805,3995
960,806,3995
961,807,3995
962,808,3995
963,809,3995
964,810,3995
965,811,3996
966,812,3996
967,813,3996
968,814,3996
969,815,3996
970,815,3997
971,816,3997
972,817,3997
973,818,3997
974,819,3997
975,820,3997
976,821,3997
977,822,3997
978,823,3998
979,824,3998
980,825,3998
981,826,3998
982,827,3998
983,827,3999
984,828,3999
985,829,3999
986,830,4000
987,831,4000
988,832,4000
989,833,4000
990,834,4000
991,835,4000
992,836,4000
993,837,4001
994,838,4001
995,839,4001
996,840,4001
997,841,4001
998,842,4001
999,843,4001
1000,844,4001
1001,845,4001
1002,846,4002
1003,847,4002
1004,848,4002
1005,849,4002
1006,850,4002
1007,851,4002
1008,852,4002
1009,853,4002
1010,854,4003
1011,855,4003
1012,856,4003
1013,857,4003
1014,858,4003
1015,858,4004
1016,858,4005
1017,858,4006
1018,859,4007
1019,859,4008
1020,859,4009
1021,860,4009
1022,860,4010
1023,860,4011
1024,860,4012
1025,861,4013
1026,862,4013
1027,863,4013
1028,864,4013
1029,865,4013
1030,866,4013
1031,867,4013
1032,868,4014
1033,869,4014
1034,870,4014
1035,871,4015
1036,872,4015
1037,873,4015
1038,874,4015
1039,875,4015
1040,876,4015
1041,877,4015
1042,878,4016
1043,878,4017
1044,878,4018
1045,878,4019
1046,878,4020
1047,878,4021
1048,878,4022
1049,879,4022
1050,880,4022
1051,881,4022
1052,882,4023
1053,883,4023
1054,884,4023
1055,885,4023
1056,886,4023
1057,887,4023
1058,888,4023
1059,889,4024
1060,890,4024
1061,891,4024
1062,892,4024
1063,893,4024
1064,894,4024
1065,895,4025
1066,896,4025
1067,896,4026
1068,897,4026
1069,898,4026
1070,899,4027
1071,900,4027
1072,901,4027
