ladung_zielortId,ladungId,zielort
1586,45287,27
1587,45327,3
1588,45457,3
1589,45466,112
1590,45488,17
1591,45553,3
1592,45586,27
1593,45588,145
1594,45591,348
1595,45607,27
1596,45736,27
1597,45750,3
1598,45751,15
1599,45754,3
1600,45846,3
1601,45857,3
1602,45862,586
1603,45874,27
1604,46002,27
1605,46024,4
1606,46072,27
1607,46076,27
1608,46175,342
1609,46195,4
1610,46246,4
1611,46363,145
1612,46377,306
1613,46484,15
1614,46487,575
1615,46517,27
1616,46523,3
1617,46604,175
1618,46605,10
1619,46675,588
1620,46698,27
1621,46711,25
1622,46728,3
1623,46729,3
1624,46758,41
1625,46769,3
1626,46784,27
1627,46855,27
1628,46857,27
1629,47073,148
1630,47098,27
1631,47117,599
1632,47152,589
1633,47188,112
1634,47268,3
1635,47315,3
1636,47363,3
1637,47405,3
1638,47406,4
1639,47422,196
1640,47505,11
1641,47513,29
1642,47555,27
1643,47558,27
1644,47584,179
1645,47585,3
1646,47591,3
1647,47598,210
1648,47665,128
1649,47666,128
1650,47667,128
1651,47669,591
1652,47672,128
1653,47679,3
1654,47691,179
1655,47703,3
1656,47706,3
1657,47718,264
1658,47813,395
1659,47840,29
1660,47886,33
1661,47942,27
1662,47952,25
1663,48037,27
1664,48038,27
1665,48041,27
1666,48055,3
1667,48063,430
8038,241790,27
8037,241788,11
1670,48112,27
1671,48249,27
1672,48326,27
1673,48338,27
1674,48449,3
1675,48465,27
1676,48466,27
1677,48551,3
8257,49998,27
1679,48930,43
1680,48933,3
1681,49025,27
1682,49026,27
1683,49027,27
1684,49033,3
3851,111739,3
1686,49040,27
1687,49081,11
1688,49087,112
1689,49127,3
1690,49147,3
1691,49291,11
1692,49362,27
1693,49438,89
1694,49439,89
1695,49444,3
1696,49460,3
1697,49527,11
1698,49533,10
1699,49552,3
1700,49732,3
1701,49759,4
1702,49766,3
1703,49777,167
1704,49779,604
1705,49860,11
1706,49873,3
1707,49905,10
1708,49908,27
1709,49930,27
1710,49972,1
1711,49974,3
1712,50007,148
1713,50035,27
1714,50037,4
8258,51832,167
1716,50229,3
1717,50295,3
1718,50297,25
1719,50300,3
1720,50302,3
1721,50323,170
1722,50355,3
1723,50383,112
1724,50486,27
1725,49568,264
1726,50569,112
1727,50577,3
1728,50587,44
1729,50617,4
1730,50621,25
1731,50629,3
1732,50632,3
1733,50643,27
1734,50656,162
1735,50733,27
1736,50763,179
1737,50797,27
1738,50811,27
