nachnameId,nachname,nachname_quelle,nachname_bemerkungen
244,Scheiffele,"Scheiffele, Scheiffler, Scheiffle, Scheifler, Scheifle, Seiffle, Scheiffl, Scheifl, Scheifferl [?], Seiffl, Seifle, Steifele, Scheüffle, Scheiffelt, Scheuffele, Scheuffle, Scheibele
",
9429,von Balcon,von Balcon,
246,Aichinger,"Aichinger, Aikhinger",
247,Spillbichler,"Spillpichler, Spilbühler, Spilbichler, Spillbühler, Spülbichler",
248,Wintner,"Windner, Windtner, Winter, Winder, Windter",
249,Fleischhacker,"Fleischhackher, Fleischhacker, Fleischhakher",
250,Jetschgo,"Jetschgo, Jetschko",
251,Höfler,"Höffler, Hofler, Hoflez",
252,Pürgmann,"Pürgman, Pürman, Pörgman, Pirckhmann, Pürkhmann",
253,Vorauer,"Vorauer, Forauer",
254,Hechenhauser,"Hechenhaußer, Hehenhaußer, Lechenhauser, Ebmhauser",
402,Paumgartner,"Paumgarttner, Pämgartner, Paumga, Pungarttner, Paumgarth, im Paumgartten",
256,Morgänsl,"Mörgänßl, Morgänsl, Mörgänsl",
257,Dietmillner,"Dietmillner, Dietmiller",
259,Ozlberger,"Ozlberger, Ottschlsberger, Olzberger",
260,Viechbeck,"Viechbekh, Viehpöck, Vachbeck, Vierbökh, Viechpökh, Fierpöckh",
261,Schedlberger,"Schedlberger, Schedberger, Schetlberger",
262,Zinglsperger,"Zinglßperger, Zünglsperger",
263,Held,"Held, Höld, Hölth, Hölt, Helt, Hödt",
264,Schmalzigang,"Schmolzigang, Schmalzigang, Schmalziggang",
265,Spengler,Spengler,
266,Hensler,"Hensler, Heßler, Henseler, Hansler, Hänßerl",
267,Wick,"Wikh, Wükh, Wilkh",
268,Wildner,"Wildner, Wüldner",
269,Fries,"Fries, Friesl, Frus, Früeß, Frües, von Fries, Frins
",
270,Fingerlin,"Fingerlin, Fingerling, Fingerin, Füngerlin, Finglerin",
3150,von Linden,v. Linden,
3152,Helmbergerin,"Helmbergerin, Helbmpergerin",
275,Goldrainerin,Goldrainerin,
276,von Luidl,"von Liudl
",
277,Pfefferl,"Pfeffel, Pfeffl, Pfefferl, Pfefferle, Pfeffele, Pferfferl, Pfeferlin, Pfefferli",
278,Knorer,Knorer,
279,Sorger,Sorger,
280,Zeissl,"Zeisl, Zeissl",
281,Richter,"Richter, Rüchter",
282,Brentano,"Brentano, Prentano, Brantano, Prantano, Prentani, Brantane, Bräntano, Braetano, Brettano, Prentone, Prenton, Brenton, Brentoni, Brentan, Brentono, Bretani",
283,Schuster,Schuester,
284,Keller,"Keller, Köller, Kheler",
285,Gentner,"Gentner, Genter, Genttner",
286,Rauner,"Rauner, Räuner, Raunner, Rauer, Nunner, Raunee, Raunet",
287,Salpaur,"Salbaur, Kolpaur, Surpaur",
288,Lenz,"Lenz, Linz",
289,Praun,"Braun, Praun, Prauner, Braoner, Brauner",
290,Trattner,"Tratter, Trather, Trattner, Tradter, v. Trather, von Trattner, Dratter, Drather, Drater, von Tratter",
291,Bittner,"Bittner, Bidner, Pittner, Büttner, Pitner, Püttner, Buttner, Büttener, Bitter, Nittner, Bitteer, Puttner, Pidtner",
292,Schwendter,"Schwendter, Schwenter, Schwanter, Schwendtner, Schwendner",
293,Kempter,"Kempter, Kampter, Kembter, Khemeter",
5927,Pachberger,Pachberger,
295,Jungwirt,Jungwürth,
296,Deiß,"Deis, Deyss, Deys, Deiss, Theis",
297,Förschl,"Förschl, Ferschl",
298,Vanossi,"Vanossi, Vonosso",
299,Marei,"Marey, Marei, Mari, Morey, Marey, Moria, Maria, Marini, Maroj, Marelli",
300,Gärtner,"Gartner, Garttner, Gärtner, Gärttner, Gerttner, Görttner",
301,Endter,"Endter, Ender, Endters, Enders, Enndter",
302,de Lennes,Monsieur de Lennes,
303,Strauß,Straus,
304,Trautner,"Trauthner, Trauttner",
305,Geramb,"Geramb, Geramel",
306,Premlechner,"Premlehner, Premblöchner, Premleithner",
307,Bidermann,"Biderman, Piderman",ident mit Pittermann
308,Sporn,Sporn,
309,Obermiller,"Obermillner, Obermühlner, Obermiller, Obermüllner, Obermihlner",
310,Diemb,"Diemb, Deimb, Deim",
5362,Prucker,"Pruckher, Prugger",
312,Würth,"Würth, Wierth, Wöhrt, Wierdt, Wüerdt, v. Wührt",
313,Stass,"Stass, Stäss, Staass, Sass",
