fahrzeugId,personenId,herkunft,region,maut_fl,maut_s,maut_d,fahrtrichtungId
73642,1349,30,34,,1,2,2
73643,25213,949,6,,,24,2
73644,1907,15,3,,,16,2
73645,508,85,6,,1,18,2
73646,2441,28,6,,,16,1
73647,22827,11,122,,,16,2
73648,18419,2,4,,,6,2
73649,2940,243,38,,,16,2
73650,34844,32,2,,1,18,2
73651,171,5,6,,,6,2
73652,280,3,6,,,16,2
73653,88,3,6,,,16,2
73654,640,225,6,,,16,1
73655,34845,30,34,,,16,2
73656,34846,43,6,,,18,2
73657,1005,35,6,,,16,2
73658,494,48,38,,,16,2
73659,34811,894,6,,,16,2
73660,8666,195,6,,,16,1
73661,3601,13,38,,1,2,2
73662,3044,60,2,,2,4,2
73663,3113,98,2,,3,6,2
73664,174,27,1,,,16,1
73665,168,2,4,,,6,2
73666,181,9,5,,,16,2
73667,88,3,6,,,22,2
73668,2396,26,6,,1,2,1
73669,171,5,6,,,6,2
73670,1284,26,6,,,16,1
73671,558,225,6,,1,2,2
73672,2482,223,2,,,18,2
73673,785,24,2,,1,18,2
73674,404,32,2,,,24,2
73675,34596,13,38,,,16,2
73676,826,66,6,,,6,2
73677,1005,35,6,,,16,1
73678,34851,14,6,,,18,2
73679,4971,175,6,,,16,1
73680,14701,225,6,,,16,2
73681,11936,225,6,,,6,2
73682,821,105,2,,6,12,2
73683,17856,27,1,,,16,1
73684,1696,30,34,,,16,2
73685,1338,28,6,,,16,2
73686,11093,100,2,,,16,2
73687,12132,98,2,,1,18,2
73688,39125,191,2,,,24,2
73689,171,5,6,,,6,2
73690,6828,264,1,,,16,2
73691,558,225,6,,1,2,1
73692,177,10,38,,,6,2
73693,1005,35,6,,,6,2
73694,522,30,34,,1,18,2
73695,10224,15,3,,,16,2
73696,34857,,,,4,8,1
73697,2995,13,38,,,16,2
73698,13986,26,6,,,16,2
73699,1231,5,6,,,12,2
73700,204,10,38,,,16,2
73701,6408,66,6,,,16,1
73702,13986,26,6,,1,2,2
73703,2182,66,6,,,16,1
73704,34615,60,2,,2,12,2
73705,543,29,6,,,16,2
73706,222,5,6,,,6,2
73707,30413,29,6,,1,2,2
73708,207,10,38,,,16,2
