angaben_passagiereId,personenId,angabenId,zielort,judenleibmaut,judenleibmaut_fl,judenleibmaut_s,judenleibmaut_d,bemerkungen,passagiereOrder
1266,6243,6324,89,,,,,,
1267,4738,6327,,,,,,,
1268,89,6338,,,,,,,
1269,6252,6341,27,,,,,,
1270,16,6346,,,,,,,
1271,1587,6350,,,,,,,
1272,16,6355,,,,,,,
1273,16,6356,,,,,,,
1274,16,6373,,,,,,,
1275,6275,6385,,,,,,,
1276,16,6410,,,,,,,
11583,6706,6417,,,,,,,
1278,3933,6418,,,,,,,
1279,16,6420,,,,,,,
1280,16,6422,,,,,,,
1281,5744,6432,,,,,,,
1282,6314,6437,,,,,,,
1285,1587,6456,10,,,,,,
1286,1587,3498,,,,,,,
1294,2404,6483,27,,,,,,
1295,6350,6490,13,,,,,,
2924,411,6548,,,,,,,
5062,14283,6493,27,,,,,,
1298,17,6494,,,,,,,
1299,17,6496,,,,,,,
1300,16,6505,27,,,,,,
1301,16,6522,,,,,,,
1302,6365,6530,148,,,,,,
1303,6371,6539,471,,,,,,
1304,5394,6545,3,,,,,,
2925,411,8568,27,,,,,,
1306,1587,6550,,,,,,,
1307,1587,6551,,,,,,,
1308,1587,6553,,,,,,,
1309,1587,6555,,,,,,,
1310,1587,6564,10,,,,,,
1311,16,6565,27,,,,,,
1312,16,6566,,,,,,,
1313,5429,6581,27,,,,,,
1314,3496,6587,148,,,,,,
1315,16,6592,,,,,,,
1316,16,6597,,,,,,,
1317,16,6601,,,,,,,
1318,6407,6606,27,,,,,,
1319,554,3429,,,,,,,
1324,16,6613,,,,,,,
1325,16,6618,,,,,,,
1326,16,6619,,,,,,,
1327,16,6630,,,,,,,
1328,16,6631,,,,,,,
1330,17,6650,,,,,,,
1331,15,6655,,,,,,,
1332,968,6658,27,,,,,,
1333,6428,6658,27,,,,,,
1334,16,6660,3,,,,,,
1335,16,6661,,,,,,,
1336,6432,6663,27,,,,,,
1337,1911,6666,10,,,,,,
1338,414,6673,,,,,,,
1339,16,6678,,,,,,,
1340,5972,6681,3,,,,,,
1341,16,6682,,,,,,,
1342,16,6686,27,,,,,,
1343,672,6692,,,,,,,
1344,788,6708,,,,,,,
1345,16,6716,,,,,,,
1346,16,6717,,,,,,,
1347,15,6734,3,,,,,,
1348,16,6739,,,,,,,
1349,5972,6740,,,,,,,
1350,5777,6741,27,,,,,,
1351,1587,6746,10,,,,,,
1352,17,6749,,,,,,,
1353,6475,6752,4,,,,,,
1354,6477,6755,,,,,,,
1355,672,6757,,,,,,,
1356,16,6761,,,,,,,
1357,17,6778,,,,,,,
1358,16,6783,,,,,,,
1359,6503,6786,3,,,,,,
1360,16,6789,,,,,,,
1361,6510,6799,,,,,,,
1362,15,6801,,,,,,,
1363,909,6804,,,,,,,
1364,16,6807,,,,,,,
1365,16,6812,,,,,,,
13729,1340,6824,,,,,,,
13730,29044,6828,,,,,,,
1368,16,6833,,,,,,,
1369,16,6840,,,,,,,
1370,16,6842,,,,,,,
1371,16,6843,,,,,,,
1372,16,6845,148,,,,,,
1373,6534,6846,27,,,,,,
1374,16,6849,148,,,,,,
1375,1927,6851,,,,,,,
1376,16,6857,,,,,,,
1377,6541,6870,,,,,,,
1378,3631,6876,,,,,,,
1379,788,6880,,,,,,,
