person_verknuepftId,personenId1,personenId2
1362,285,9858
1156,15985,2452
1157,15991,14095
1158,15991,15254
1159,15994,195
1160,15994,15000
1161,15997,5269
1162,16001,2532
1163,16001,14705
1164,16001,12073
1165,16001,14642
1166,16006,13523
1167,16012,13191
1168,16017,3966
1169,16017,14726
1170,16019,15673
1171,16026,8045
1172,16026,2081
1173,16026,252
1174,16027,4660
1175,16028,11471
1176,16028,6067
1177,16028,8609
1178,16028,2298
17113,37894,29971
1180,16041,9431
1181,90,1195
1182,90,8498
1183,90,5798
1184,16048,6219
1185,16048,6612
1186,16056,1944
1187,16057,13096
1188,16060,9501
1189,16060,10065
1190,16060,12598
1191,8864,10822
1192,16061,6823
1193,16061,7823
1194,16062,9316
1195,618,6221
1196,16075,8840
1197,16077,5089
3579,5888,5901
10902,30602,6466
1328,5989,8671
1201,11838,6614
6212,22770,10201
9831,16442,9037
1204,16085,10068
8989,5281,9217
1206,5306,9961
5649,5374,13631
5647,9244,15374
5646,1064,9244
11959,19511,2567
11951,19286,1122
1212,16099,7980
1213,16101,4484
1214,16101,1098
1215,16101,15545
1216,16102,12380
1217,16104,13460
1218,16104,6263
3676,3069,15208
14844,29290,35668
3673,16110,2904
16083,39327,9787
1223,16111,12420
1224,16111,1891
1225,16111,9993
1226,161,1786
1227,161,8769
1228,161,4846
1229,1786,8769
1230,1786,4846
1231,4846,8769
1232,16113,3132
1233,16114,1709
1234,16115,9988
1235,16115,12934
16896,39751,15037
1237,16120,10604
13260,35948,20325
1240,16130,12412
1241,16130,5348
1242,16130,5828
1243,16130,13040
1244,16133,14424
1245,16134,219
1246,16134,2941
1247,16134,2892
1248,16134,12304
16894,2967,13674
1250,16140,1002
1251,16143,8406
1252,16145,8301
1253,16148,2281
1254,16148,15834
1255,10488,11028
1256,16156,11796
16846,14065,11955
1258,16161,8970
1259,16163,3472
1260,16164,15792
1261,16172,6036
1262,16172,6351
1263,16176,9243
1264,16183,5736
1265,16188,10189
1266,14782,8656
1267,16191,10634
1268,16197,690
1269,16199,11710
1270,16199,12318
1271,16201,16012
1272,16201,13191
1273,16206,5068
1274,16208,203
1275,14847,9259
1276,16215,7366
1277,16217,15535
1278,16218,13679
1279,16220,343
1280,16232,11695
1281,16233,13562
1282,16233,14307
9479,8749,16233
6534,23062,18888
1285,16234,7600
1286,16239,1232
1287,16239,2508
1288,16239,4230
1291,477,1889
6266,16795,477
1293,16243,16149
1294,16243,15962
1295,16244,4113
16551,39612,26489
1297,16249,15874
1298,16254,16021
1299,16256,5610
1300,16257,15985
17073,36399,15132
17069,1187,671
17068,13917,3151
1304,16264,2037
1305,16265,2037
1306,16267,10488
1307,16267,11028
1308,16269,1267
1309,16270,1516
1310,16270,6425
1311,16270,11032
1312,16273,5296
1313,16273,9454
1314,16273,12578
1315,16273,13719
1316,16273,14632
1317,16278,1231
1318,16278,4064
1319,16287,16009
1320,16287,15440
1321,16291,5698
1322,16297,1365
1323,16303,997
1324,16308,8259
1325,16309,1072
1326,11709,2724
1327,11709,2695
1329,16312,4813
1330,16312,16089
1331,16313,10473
1332,16313,1140
1333,16313,7501
1334,4991,16313
1335,4991,14554
1336,14554,1140
1337,14554,7501
1338,14554,16313
1339,16314,4896
1340,16316,14491
1341,16321,13205
1342,16323,2941
1343,16323,2892
1347,16334,1941
1346,16330,15946
1348,4509,8521
1349,16336,5522
1350,16336,13338
1351,16338,9672
1352,16340,15414
1353,16344,5625
1354,16345,15037
1355,16345,2402
1356,16348,7840
1357,16363,2818
1358,16364,3475
1359,16366,1997
1360,1625,7371
1361,16369,15981
1364,869,7220
1365,869,9456
1366,2781,9432
3976,21505,13495
1368,5645,6723
3975,8377,5539
3974,8377,2843
3558,7289,17145
3557,3719,17145
3560,13005,173
3559,5708,12097
10040,29446,9782
1376,2309,13368
1377,432,12230
1378,455,15639
3097,17714,17979
3096,17516,5782
3094,15402,17778
1382,543,2466
1383,543,10090
1384,2466,10090
1385,607,3098
1386,2435,545
1387,145,2292
1388,4690,6210
6025,16948,14843
1390,2894,4918
1391,16374,883
1392,16374,15081
17027,2362,883
1394,16374,2362
1395,16374,15760
1396,16375,62
1397,16375,5027
1398,16376,617
1399,16376,7113
1400,16376,9808
1401,16377,353
1402,16377,680
1403,16377,3845
1404,16377,5517
1405,16377,5574
1406,16378,336
1407,16378,7997
1408,16378,15286
1409,651,6251
1410,426,10139
1411,8949,10779
1412,11093,6036
1413,2081,8045
8282,26185,13746
1415,2902,6
1416,2902,1539
1417,1539,6
1418,732,5071
1419,3807,11964
1420,599,4491
1421,599,15275
1422,599,1487
1423,1487,4491
1424,1487,15275
1425,4491,15275
1426,141,1418
1427,141,9073
1428,141,3481
1429,1418,3481
1430,1418,9073
1431,318,3360
1432,318,1362
1433,318,8077
1434,1362,8077
1435,1362,5165
1436,1362,3360
1437,3107,318
1438,5165,8077
1439,5165,8755
1440,3360,5165
1441,3360,8755
1442,3360,3107
1443,3360,318
1444,3360,8077
1445,761,5143
1446,173,1495
1447,173,5074
1448,173,12179
1449,1495,5074
1450,1495,6061
1451,1495,12179
1452,173,6061
1453,5074,6061
1454,5074,12179
1455,6061,12179
1456,2510,1353
1457,2510,7923
1458,2510,15792
1459,7923,1353
1460,7923,15792
1461,773,11334
1462,777,2325
1463,10037,14931
1464,4052,14337
1465,2199,698
1466,817,7907
1467,817,7735
1468,7735,7907
1469,268,3624
1470,268,15590
1471,268,2545
1472,2545,15590
1473,2545,3624
1474,2545,10246
1475,2545,1977
1476,3624,15590
1477,751,7776
1479,211,4956
1480,211,10209
1481,211,14901
1482,4956,10209
1483,4956,14901
1484,10209,14901
1485,275,6409
1486,275,7672
1487,6409,7672
1488,6174,321
1489,6174,2776
1490,15913,321
1491,15913,2776
1492,321,2776
1493,835,2063
1494,835,6472
1495,835,10962
1496,2063,6472
1497,2063,10962
1498,6472,10962
1499,1034,6523
1500,222,1691
1501,222,7285
1502,222,9119
1503,6859,8683
1504,6859,7749
1505,8683,7749
1506,8683,8976
1507,1691,7285
1508,1691,9119
1509,1691,5187
1510,7285,9119
1511,171,9655
1512,7994,1910
1513,2299,8976
1514,2299,7749
1515,1910,2461
1516,1910,7513
1517,1910,7994
1518,918,3755
1519,821,11232
1520,6724,7015
1521,6724,7561
1522,6724,12581
1523,7015,7561
1527,650,2964
1525,12581,7015
1526,12581,7561
1528,945,2477
1529,945,7257
1530,2477,7257
1531,1056,1511
1533,1056,3599
1534,1056,10403
1536,1056,15575
1537,1056,9818
1539,1511,3599
1540,1511,10403
1542,1511,15575
1543,1511,9818
1549,3599,10403
1551,3599,15575
1552,3599,9818
1554,10403,9818
